Name,Type,Location,Communitys Rating,# Ratings,Expert,Expert Score,ABV %,Cost,Cask,Age
DEL MAGUEY SAN JOSE RIO MINAS MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.38,4,OMARI WHEAT,93,48.0,4,UNAGED,
MEZCAL MARCA NEGRA DOBADÁN,MEZCAL JOVEN,"OAXACA, MEXICO",4.55,11,DISTILLER STAFF,93,48.0,4,,
MARCA NEGRA TOBALÁ MEZCAL,MEZCAL JOVEN,"OAXACA, MEXICO",4.64,31,OMARI WHEAT,93,48.0,4,,
MEZCAL LOS SIETE MISTERIOS ARROQUEÑO,MEZCAL JOVEN,"LOS SIETE MISTERIOS // OAXACA, MEXICO",4.38,13,OMARI WHEAT,93,48.7,4,,NAS
ESPÍRITU LAURO REPOSADO MEZCAL,MEZCAL REPOSADO,"ESPÍRITU LAURO // OAXACA, MEXICO",4.75,4,AMANDA SCHUSTER,93,40.0,3,AMERICAN OAK EX-WHISKEY,NAS
TEQUILA GRAN DOVEJO REPOSADO,TEQUILA REPOSADO,"LOS ALTOS, JALISCO, MEXICO",4.25,1,DISTILLER STAFF,93,40.0,2,,
EL JIMADOR AÑEJO TEQUILA,TEQUILA AÑEJO,"TEQUILA VALLEY, JALISCO, MEXICO",3.76,107,DISTILLER STAFF,93,40.0,1,,
TEQUILA OCHO EXTRA AÑEJO SAN AGUSTIN 2009,TEQUILA EXTRA AÑEJO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",4.52,14,BROCK SCHULTE,93,40.0,5,,
TEQUILA OCHO PLATA EL PUERTECITO 2011,TEQUILA BLANCO,"TEQUILA OCHO // LOS ALTOS, JALISCO, MEXICO",4.63,2,DANIEL DJANG,93,40.0,2,,
123 ORGANIC REPOSADO (DOS) TEQUILA,TEQUILA REPOSADO,"TEQUILA VALLEY, JALISCO, MEXICO",4.26,42,RYAN CONKLIN,93,40.0,3,,
123 ORGANIC AÑEJO (TRES) TEQUILA,TEQUILA AÑEJO,"123 SPIRITS // TEQUILA VALLEY, JALISCO, MEXICO",4.45,49,RYAN CONKLIN,93,40.0,3,WHITE OAK,NAS
SIETE LEGUAS BLANCO TEQUILA,TEQUILA BLANCO,"SIETE LEGUAS // LOS ALTOS, JALISCO, MEXICO",4.12,98,STEPHANIE MORENO,93,40.0,2,UNAGED,NAS
CAMBIO BLANCO TEQUILA,TEQUILA BLANCO,"CAMBIO TEQUILA // JALISCO, MEXICO",,,AMANDA SCHUSTER,92,46.0,2,USED FRENCH OAK WINE BARRELS,NAS
CIERTO TEQUILA PRIVATE COLLECTION AÑEJO,TEQUILA AÑEJO,"CIERTO // JALISCO, MEXICO",2.63,2,AMANDA SCHUSTER,92,40.0,5,FRENCH LIMOUSIN OAK,NAS
MIJENTA TEQUILA REPOSADO,TEQUILA REPOSADO,"MIJENTA // LOS ALTOS, JALISCO, MEXICO",3.95,19,STEPHANIE MORENO,92,40.0,3,"AMERICAN WHITE OAK, FRENCH OAK, FRENCH ACACIA CASKS",NAS
FORTALEZA REPOSADO WINTER BLEND 2021,TEQUILA REPOSADO,"TEQUILA FORTALEZA // JALISCO, MEXICO",4.38,4,AMANDA SCHUSTER,92,46.3,5,"AMERICAN OAK, EUROPEAN OAK EX-MARSALA",NAS
